chicken wild rice soup,Phyical Therapy - stretches,Caffeine,Osteopathy,Cannabis,crocheted,Ambien CR,tumeric extract,lift x2,meds,smoothie,buses,avocado,ice cream bar,gardening,Netflix day,alcohol yesterday,holiday,DEHA,Vitamin b complex,8 hours sleep,cuddled kitten,Methylcobalamine,therapy session,10K steps,ate badly,Candy,siracha,Slept extra,THC,Goth clubbing,Allegra,11K steps,home alone,new environment,Fish oil,Chocolate after 6pm,Rest,12K Steps,Veggies,took naps,Corticosteroids,Tretinoin,picnic,bed day,bacon,8.5 hours sleep,drank wine,Aromatherapy,slept 7 hours,knitting,ice cream,Claritin,Strattera,Relaxing,Low oxalate,skipped meals,Zofran,Clinda-derm,Hydroxyzine,Synthroid,12 hours sleep,Went to concert,excedrin migraine,yogurt,exercise,Post-op ice device,Vitamin C,Vitamin B,listen to music ,ate salsa,Tavegyl,Daytime nap,5k steps,Gabapentin,Maxalt,Klonopin,Medication,zoo,CBD,LUSH acne spot-treatment,studied,fun shopping,flaxseed and fybogel,Vitamin b12,bed late,Vitamin d,Ice pack,Late lunch,massage,no breakfast,Pedicure,physical therapy,took nap,little breakfast,shopped,acupuncture treatment,Acupuncture,ironing,Metformin,9 hours sleep,Went out on date,vacation,15K steps,music,Snooze,slept 11 hours,CoQ10,social gathering,lots of desk work,shopping,gluten,Trigger Points,16K steps,crafting,scary new shit,bubble and squeak roast,8.75 hours sleep,2K steps,Tranexamic acid,slimfast,rebounding,Gardening,exercised,Singulair,stool softener,not great sleep,banana,donut,Allergy Shots,bbq,Zinc,Melatonin,soft drink,10.5 hours sleep,Dicyclomine,Alcohol,allergy shot,slept 8 hours!,small breakfast,Sunlight,Nap,Pantoprazole,snack lunch,birth control,Magnesium glycinate,5-htp,Nasonex,cooked breakfast,Tylenol 3,ate little,eye ointment,gluten free,Lazy day,Achy breaky rub,did some homework,Famotidine,Enada,laundry,strapping of shoulder,Cefaly Unit,Seasonique,Astelin,Progesterone,mass transit,heating pads,Norco,popcorn,archery,Weeded garden,Snacks,Singing,grocery shopping,Montelukast,thai food,Arby's,bone broth,long walk,nachos,smoked,severe pain,row
,2.0,,2.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,2.0,2.0,0.0,0.0,,,0.0,,,,,,,,,0.0,,2.0,,,,,,,0.0,,,2.0,,0.0,,,,,,,2.0,,,,0.0,,,,,,,0.0,,,,0.0,,,,0.0,,0.0,2.0,,0.0,0.0,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,2.0,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,2.0,0.0,,,,,2.0,,,,,,,,,,2.0,0.0,,0.0,0.0,,,0.0,chicken wild rice soup
2.0,,,0.0,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,0.0,0.0,2.0,2.0,,,2.0,,,,,,,,,2.0,,0.0,,,,,,,2.0,,,0.0,,2.0,,,,,,,0.0,,,,2.0,,,,,,,2.0,,,,2.0,,,,2.0,,2.0,0.0,,2.0,2.0,,,,,,,2.0,,,,,2.0,2.0,2.0,,,,2.0,,2.0,2.0,,,2.0,2.0,,,2.0,,,2.0,,0.0,,2.0,,,,,,,,,,,2.0,,,,,2.0,,,,0.0,2.0,,,,,0.0,,,,,,,,,,0.0,2.0,,2.0,2.0,,,2.0,Phyical Therapy - stretches
,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.0,,,,2.0,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,,,,2.0,,,,,,Caffeine
2.0,0.0,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,0.0,0.0,2.0,2.0,,,2.0,,,,,,,,,2.0,,0.0,,,,,,,2.0,,,0.0,,2.0,,,,,,,0.0,,,,2.0,,,,,,,2.0,,,,2.0,,,,2.0,,2.0,0.0,,2.0,2.0,,,,,,,2.0,,,,,2.0,2.0,2.0,,,,2.0,,2.0,2.0,,,2.0,2.0,,,2.0,,,2.0,,0.0,,2.0,,,,,,,,,,,2.0,,,,,2.0,,,,0.0,2.0,,,,,0.0,,,,,,,,,,0.0,2.0,,2.0,2.0,,,2.0,Osteopathy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannabis
,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,2.0,,,,,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,2.0,,crocheted
,,,,,,,,,0.0,,,,,,,,,,2.0,2.0,0.0,,,,,,,,2.0,,2.0,,,,2.0,,0.0,,,,,,,,,,,,,,,2.0,2.0,,,,0.0,,0.0,,,,,,,2.0,2.0,,,,,,,,,2.0,,,0.0,,,,0.0,2.0,0.0,2.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,2.0,2.0,,,,0.0,,,0.0,2.0,,,,,2.0,2.0,2.0,,,,0.0,,,,2.0,2.0,,,2.0,,,2.0,,2.0,0.0,0.0,,,,,,,,,,,,,,,Ambien CR
,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,0.0,,,,,0.0,,,,2.0,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,,,,,,,0.0,,,,,2.0,,0.0,0.0,,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,,,,0.0,,,,,2.0,,,,,,,,,,,,,,tumeric extract
0.0,2.0,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,2.0,2.0,0.0,0.0,,,0.0,,,,,,,,,0.0,,2.0,,,,,,,0.0,,,2.0,,0.0,,,,,,,2.0,,,,0.0,,,,,,,0.0,,,,0.0,,,,0.0,,0.0,2.0,,0.0,0.0,,,,,,,0.0,,,,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,2.0,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,2.0,0.0,,,,,2.0,,,,,,,,,,2.0,0.0,,0.0,0.0,,,0.0,lift x2
,,,,,,0.0,,,,,,,,,,,,,2.0,2.0,0.0,,,,,,,,2.0,,2.0,,,,2.0,,0.0,,,,,,,,,,,,,,,2.0,2.0,,,,0.0,,0.0,,,,,,,2.0,2.0,,,,,,,,,2.0,,,0.0,,,,0.0,2.0,0.0,2.0,0.0,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,2.0,2.0,,,,0.0,,,0.0,2.0,,,,,2.0,2.0,2.0,,,,0.0,,,,2.0,2.0,,,2.0,,,2.0,,2.0,0.0,0.0,,,,,,,,,,,,,,,meds
