Phyical Therapy - stretches,Osteopathy,Ambien CR,tumeric extract,Prednisone,Zolmitriptan,vitamin D tablets,N-acetyl cysteine,Clarithromycin,Vitamin b complex,Mt. Si ACDC 2x Coco Caps,therapy session,psychologist,Magnesium,THC,Allegra,Flexeril,Goth clubbing,Fish oil,Rest,Post-op ice device,Corticosteroids,Shoe Insoles,Home physio exercises,Prilosec,Butterbur,Claritin,Solpadeine Max,Strattera,Relaxing,Probiotic Gummy,Citalopram,Zofran,Clinda-derm,Hydroxyzine,Synthroid,meds,Dexedrine,Vitamin Gummies,Vitamin C,Vitamin B,Gabapentin,Klonopin,Medication,CBD,Zomig,Vitamin b12,Vitamin d,Methotrexate,physical therapy,Tretinoin,Acupuncture,Metformin,Diphenhydramine,Physio,Topiramate,Excedrin,ponstan,CoQ10,Paracatamol with codeine,ZMA,Tranexamic acid,stool softener,Allergy Shots,magnesium ionic,Zinc,Melatonin,Imodium,Dicyclomine,Alcohol,Sunlight,Pantoprazole,aqua therapy,birth control,Magnesium glycinate,5-htp,Ventolin,Fexofenadine,Ibuprofen 600mg,Hit 10k Steps,eye ointment,Ubiquinol,Valerian,Achy breaky rub,Solpadol,Famotidine,Tensor Band,Benadryl,Enada,Ranitidine,strapping of shoulder,Nasonex,Astelin,Progesterone,Ice pack,Migraine herb feverfew tablets,heating pads,Norco,Wristies,Singulair,excedrin migraine,Solpadeine,Montelukast,Multi-vitamin
,,0.0,0.0,,,,,,0.00864321890336,,0.0,,,0.0,,,2.0,1.22626366997e-05,2.0,0.0,,,,,,0.00864321890336,,0.0,,,,2.0,,0.0,2.0,2.0,,,0.00864321890336,,,1.99532749955,,2.0,,1.22626366997e-05,0.00864321890336,,2.0,,0.0,,,,,,,0.0,,,,2.0,2.0,,0.00864321890336,0.00864321890336,,,0.0,0.0,,,0.0,0.00864321890336,0.00864321890336,,,,,0.0,,,,,0.00864321890336,,,,,0.0,0.00864321890336,0.00864321890336,,2.0,,2.0,2.0,,0.00864321890336,,,,
0.0,0.0,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,0.0,,2.0,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,2.0,,,,,2.0,0.0,,,,,0.0,,,,,,,,,0.0,
,,,2.0,,,,,,2.0,,2.0,,,,2.0,,,2.0,,,,,,,,2.0,,2.0,,,,,,,0.0,,,,2.0,,,0.0,,,,2.0,2.0,,,,2.0,,,,,,,2.0,,,,,0.0,,2.0,2.0,,,,,,,2.0,2.0,2.0,,,,,,,,,,2.0,,,,,,2.0,2.0,,,,,,,2.0,,,,
,,0.0,0.0,,,,,,0.00800566803345,,0.0,,,0.0,1.22626366997e-05,,2.0,,2.0,0.0,,,,,,0.00800566803345,,1.22626366997e-05,,,,2.0,,0.0,2.0,2.0,,,0.00800566803345,,,1.99483711866,,2.0,,0.0,0.00800566803345,,2.0,,0.0,,,,,,,0.0,,,,2.0,2.0,,0.00800566803345,0.00800566803345,,,0.0,0.0,,,0.0,0.00800566803345,0.00800566803345,,,,,0.0,,,,,0.00800566803345,,,,,0.0,0.00800566803345,0.00800566803345,,2.0,,2.0,2.0,,0.00800566803345,,,,
,,2.0,,,,,,,2.0,,,,,2.0,2.0,,,2.0,,2.0,,,,,,2.0,,2.0,,,,0.0,,2.0,,0.0,,,2.0,,,0.0,,0.0,,2.0,2.0,,0.0,,,,,,,,,,,,,0.0,,,2.0,2.0,,,2.0,2.0,,,,2.0,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,0.0,,0.0,0.0,,2.0,,,,
,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,0.0,2.0,,,,,,,0.0,,0.0,,,,2.0,,0.0,,2.0,,,0.0,,,2.0,,2.0,,0.0,0.0,,2.0,,,,,,,,,,,,,2.0,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0.0,,2.0,,2.0,2.0,,0.0,,,,
0.0,0.0,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,,,0.0,,2.0,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,2.0,,,,,2.0,0.0,,,,,0.0,,,,,,,,,0.0,
,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,0.0,,,,,
,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,,,,2.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,0.0,,2.0,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,2.0,,,,,2.0,0.0,,,,,0.0,,,,,,,,,0.0,
,,0.0,0.0,,,,,,0.0,,0.0,,,0.0,0.00864321890336,,2.0,0.00800566803345,2.0,0.0,,,,,,,,0.00864321890336,,,,2.0,,0.0,2.0,2.0,,,0.0,,,1.97405707416,,2.0,,0.00800566803345,0.0,,2.0,,0.0,,,,,,,0.0,,,,2.0,2.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0.0,,2.0,,2.0,2.0,,0.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,
,,0.0,0.0,,,,2.0,0.0,0.00864321890336,,0.0,,,0.0,0.0,,2.0,1.22626366997e-05,2.0,0.0,,,,,,0.00864321890336,,,,2.0,,2.0,,0.0,2.0,2.0,0.0,2.0,0.00864321890336,,,1.99532749955,,2.0,,1.22626366997e-05,0.00864321890336,,2.0,,0.0,,,,,,,0.0,,2.0,,2.0,2.0,,0.00864321890336,0.00864321890336,,,0.0,0.0,,,0.0,0.00864321890336,0.00864321890336,,,,2.0,0.0,,,,,0.00864321890336,,2.0,,,0.0,0.00864321890336,0.00864321890336,,2.0,,2.0,2.0,,0.00864321890336,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,,,,,,,2.0,,,,,2.0,2.0,,,2.0,0.0,2.0,,,,,,2.0,,2.0,,,,,,2.0,,0.0,,,2.0,,,0.0,,0.0,,2.0,2.0,,0.0,,,,,,,,,,,,,0.0,,,2.0,2.0,,,2.0,2.0,,,,2.0,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,0.0,,0.0,0.0,,2.0,,,,
0.0,0.0,,,,1.99566572281,,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,,2.0,,0.0,,,0.00550600519127,,0.0,,,,,,,,,,,,,,,,0.000373848360215,,,,,,,,,0.0819470140984,,,,0.0,0.744254654777,,,,,0.648155947431,0.0,,,,,0.0,,,,,,,,,3.8222552378e-05,
,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,0.0,2.0,0.0,,,,,,0.0,,0.0,,,,2.0,,,,2.0,,,0.0,,,2.0,,2.0,,0.0,0.0,,2.0,,,,,,,,,,,,,2.0,,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,0.0,0.0,,2.0,,2.0,2.0,,0.0,,,,
,,,2.0,,,,,,2.0,,2.0,,,,2.0,,0.0,2.0,,,,,,,,2.0,,2.0,,,,,,,,,,,2.0,,,0.0,,,,2.0,2.0,,,,2.0,,,,,,,2.0,,,,,0.0,,2.0,2.0,,,,,,,2.0,2.0,2.0,,,,,,,,,,2.0,,,,,,2.0,2.0,,,,,,,2.0,,,,
,,2.0,,,,,,,2.0,,,,,2.0,2.0,,,2.0,0.0,2.0,,,,,,2.0,,2.0,,,,0.0,,2.0,,,,,2.0,,,0.0,,0.0,,2.0,2.0,,0.0,,,,,,,,,,,,,0.0,,,2.0,2.0,,,2.0,2.0,,,,2.0,2.0,,,,,2.0,,,,,2.0,,,,,2.0,2.0,2.0,,0.0,,0.0,0.0,,2.0,,,,
,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,
